,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy
89,1000000,250000,sine,135931,0.5,b'FFEF3B97C4C664E8',0.5db_10.0sigma_haystacks/2018-03-30_194617__179.txt,10.0,b'00000000000341A6',0.9997441525963723
90,1000000,250000,sine,286333,0.5,b'FFD0CB53450130FD',0.5db_10.0sigma_haystacks/2018-03-30_194617__18.txt,10.0,b'000000000004631E',0.9992796972555922
91,1000000,250000,sine,100737,0.5,b'FFACC9012E267E89',0.5db_10.0sigma_haystacks/2018-03-30_194617__180.txt,10.0,b'0000000000050A1F',0.998730242527154
92,1000000,250000,sine,484262,0.5,b'FFED121DC0E9405B',0.5db_10.0sigma_haystacks/2018-03-30_194617__181.txt,10.0,b'000000000007CD8E',0.9997111628189588
93,1000000,250000,sine,670170,0.5,b'FFD2D3D8E2C3492E',0.5db_10.0sigma_haystacks/2018-03-30_194617__182.txt,10.0,b'00000000000A9E19',0.9993107227808312
94,1000000,250000,sine,496326,0.5,b'FFF3CE1E07A9D66D',0.5db_10.0sigma_haystacks/2018-03-30_194617__183.txt,10.0,b'00000000000E5545',0.9998139212909004
95,1000000,250000,sine,565797,0.5,b'FFAD5007D90A4FBC',0.5db_10.0sigma_haystacks/2018-03-30_194617__184.txt,10.0,b'00000000000B6D74',0.998738290706606
96,1000000,250000,sine,722045,0.5,b'FFD16CF72CAA00BE',0.5db_10.0sigma_haystacks/2018-03-30_194617__185.txt,10.0,b'00000000000D67C2',0.999289331765489
97,1000000,250000,sine,447072,0.5,b'FFD59C1D0AA2AD1D',0.5db_10.0sigma_haystacks/2018-03-30_194617__186.txt,10.0,b'00000000000A0EE2',0.9993531771566591
98,1000000,250000,sine,176774,0.5,b'FFCCADA7986151F1',0.5db_10.0sigma_haystacks/2018-03-30_194617__187.txt,10.0,b'000000000002FB4C',0.9992168935936026
99,1000000,250000,sine,604325,0.5,b'FFF365DC001E38EA',0.5db_10.0sigma_haystacks/2018-03-30_194617__188.txt,10.0,b'0000000000000000',0.9998077070341588
100,1000000,250000,sine,324521,0.5,b'FFAD660B22B3AB3E',0.5db_10.0sigma_haystacks/2018-03-30_194617__189.txt,10.0,b'000000000005C866',0.9987396027742778
101,1000000,250000,sine,153701,0.5,b'FFAAB08004F8B8CA',0.5db_10.0sigma_haystacks/2018-03-30_194617__19.txt,10.0,b'000000000005B7B0',0.9986982643649495
102,1000000,250000,sine,749856,0.5,b'FFB6B40B75201E1B',0.5db_10.0sigma_haystacks/2018-03-30_194617__190.txt,10.0,b'00000000000EAF8E',0.9988815811130967
103,1000000,250000,sine,707964,0.5,b'FFC4DCE8AD88C2B9',0.5db_10.0sigma_haystacks/2018-03-30_194617__191.txt,10.0,b'00000000000D1D30',0.9990976398526383
104,1000000,250000,sine,293358,0.5,b'FFD8A2F7E7750015',0.5db_10.0sigma_haystacks/2018-03-30_194617__192.txt,10.0,b'000000000004AE30',0.9993993621096315
105,1000000,250000,sine,576957,0.5,b'FFF346662A56D113',0.5db_10.0sigma_haystacks/2018-03-30_194617__193.txt,10.0,b'0000000000000000',0.9998058318545546
106,1000000,250000,sine,100777,0.5,b'FFC2A6C7BB72FA96',0.5db_10.0sigma_haystacks/2018-03-30_194617__194.txt,10.0,b'00000000000472EF',0.9990638959529398
107,1000000,250000,sine,705874,0.5,b'FFB8416C21C00C19',0.5db_10.0sigma_haystacks/2018-03-30_194617__195.txt,10.0,b'00000000000DC375',0.9989052666658156
108,1000000,250000,sine,310405,0.5,b'FFB04DB0913BBE3F',0.5db_10.0sigma_haystacks/2018-03-30_194617__196.txt,10.0,b'0000000000056C60',0.99878392754293
109,1000000,250000,sine,715957,0.5,b'FFEE54FA1BBEF786',0.5db_10.0sigma_haystacks/2018-03-30_194617__197.txt,10.0,b'00000000000E05EE',0.9997304068199319
110,1000000,250000,sine,83909,0.5,b'FFF375DFA5CBA585',0.5db_10.0sigma_haystacks/2018-03-30_194617__198.txt,10.0,b'00000000000D9DE5',0.9998086615576499
111,1000000,250000,sine,108508,0.5,b'FFEF9C0CD9F6B7C6',0.5db_10.0sigma_haystacks/2018-03-30_194617__199.txt,10.0,b'00000000000354CB',0.9997499019027271
112,1000000,250000,sine,512768,0.5,b'FFED0B1C24FEE460',0.5db_10.0sigma_haystacks/2018-03-30_194617__2.txt,10.0,b'000000000007E7BB',0.9997107452118105
113,1000000,250000,sine,393645,0.5,b'FFDE9E850AE60A91',0.5db_10.0sigma_haystacks/2018-03-30_194617__20.txt,10.0,b'000000000007B734',0.9994906496821373
114,1000000,250000,sine,386257,0.5,b'FFF351CBE5862118',0.5db_10.0sigma_haystacks/2018-03-30_194617__200.txt,10.0,b'0000000000000000',0.9998065111917858
115,1000000,250000,sine,230288,0.5,b'FFEB25FEF0EDD03F',0.5db_10.0sigma_haystacks/2018-03-30_194617__201.txt,10.0,b'000000000003886D',0.9996818301596513
116,1000000,250000,sine,476611,0.5,b'FFF3DE8A3C222A1B',0.5db_10.0sigma_haystacks/2018-03-30_194617__202.txt,10.0,b'0000000000000000',0.9998149001586475
117,1000000,250000,sine,20401,0.5,b'FFEA9B234289595E',0.5db_10.0sigma_haystacks/2018-03-30_194617__203.txt,10.0,b'0000000000031CEF',0.9996735535701523
118,1000000,250000,sine,698822,0.5,b'FFF32403840423ED',0.5db_10.0sigma_haystacks/2018-03-30_194617__204.txt,10.0,b'00000000000B989D',0.9998037823279593
119,1000000,250000,sine,269480,0.5,b'FFD172368FC97A77',0.5db_10.0sigma_haystacks/2018-03-30_194617__205.txt,10.0,b'000000000006C4C9',0.9992896445471952
120,1000000,250000,sine,404213,0.5,b'FFB0874A333F28D6',0.5db_10.0sigma_haystacks/2018-03-30_194617__206.txt,10.0,b'000000000006F894',0.9987873607781209
121,1000000,250000,sine,316371,0.5,b'FFB50F4B1DB7A9B0',0.5db_10.0sigma_haystacks/2018-03-30_194617__207.txt,10.0,b'0000000000066754',0.9988565023793102
122,1000000,250000,sine,687341,0.5,b'FFE46B7117258250',0.5db_10.0sigma_haystacks/2018-03-30_194617__208.txt,10.0,b'00000000000DD42B',0.9995791579341553
123,1000000,250000,sine,594678,0.5,b'FFE29BE9540CC044',0.5db_10.0sigma_haystacks/2018-03-30_194617__209.txt,10.0,b'00000000000CCB58',0.999551529374048
