,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy,entropy_hex,sigma,start_window
1,1000000.0,250000.0,sine,685172.0,5.0,-6790145196122840,b'FFE7E0661F9C9D28',20.9280352651,00000000000A8331
1,1000000.0,250000.0,sine,314535.0,5.0,-21627529311837325,b'FFB329E06DFFA373',20.9280352651,000000000004F2D3
1,1000000.0,250000.0,sine,77678.0,5.0,-4850654135417903,b'FFEEC45B135483D1',20.9280352651,00000000000E8165
1,1000000.0,250000.0,sine,487010.0,5.0,-19943693129018598,b'FFB925511789131A',20.9280352651,000000000008F573
1,1000000.0,250000.0,sine,421217.0,5.0,-31864143856392218,b'FF8ECBBAE05E27E6',20.9280352651,000000000008431D
1,1000000.0,250000.0,sine,301543.0,5.0,-4872784150831326,b'FFEEB03A879F5F22',20.9280352651,000000000007D878
1,1000000.0,250000.0,sine,137090.0,5.0,-9177058317127772,b'FFDF65839AECAFA4',20.9280352651,51009
1,1000000.0,250000.0,sine,621771.0,5.0,-4731533986892339,b'FFEF30B1E577F5CD',20.9280352651,00000000000E30D8
1,1000000.0,250000.0,sine,136576.0,5.0,-17797998158844386,b'FFC0C4D0A2076E1E',20.9280352651,26753
1,1000000.0,250000.0,sine,89210.0,5.0,-4683439420082609,b'FFEF5C6FC909F64F',20.9280352651,00000000000B0FA7
1,1000000.0,250000.0,sine,504776.0,5.0,-5430403114704923,b'FFECB513BF5C5FE5',20.9280352651,00000000000AF700
1,1000000.0,250000.0,sine,247308.0,5.0,-4674413858357048,b'FFEF64A5367080C8',20.9280352651,0000000000061A9D
1,1000000.0,250000.0,sine,284491.0,5.0,-39743474573824525,b'FF72CD853BE32DF3',20.9280352651,75072
1,1000000.0,250000.0,sine,707655.0,5.0,-37298156650007591,b'FF7B7D862E1973D9',20.9280352651,00000000000D041A
1,1000000.0,250000.0,sine,189363.0,5.0,-6955807637851604,b'FFE749BAD49EB22C',20.9280352651,000000000004FA64
1,1000000.0,250000.0,sine,737084.0,5.0,-36940645047019992,b'FF7CC2ADD632D628',20.9280352651,00000000000DEAC0
1,1000000.0,250000.0,sine,215446.0,5.0,-12196747187684601,b'FFD4AB1F80767B07',20.9280352651,000000000005715A
1,1000000.0,250000.0,sine,412649.0,5.0,-10596562985707948,b'FFDA5A7B6B659654',20.9280352651,000000000007EFCD
1,1000000.0,250000.0,sine,175766.0,5.0,-35738976234204558,b'FF81079728EC9272',20.9280352651,000000000004D8FE
1,1000000.0,250000.0,sine,131360.0,5.0,-4794344088579156,b'FFEEF791C7AB53AC',20.9280352651,00000000000B0E8F
1,1000000.0,250000.0,sine,520430.0,5.0,-41890379326088472,b'FF6B2CEC04C31AE8',20.9280352651,00000000000B299C
1,1000000.0,250000.0,sine,57482.0,5.0,-38996486484232322,b'FF7574E6F39E777E',20.9280352651,000000000001AF52
1,1000000.0,250000.0,sine,551430.0,5.0,-42243615979963884,b'FF69EBA7B37C7A14',20.9280352651,0000000000089EE3
1,1000000.0,250000.0,sine,419669.0,5.0,-39804154068570877,b'FF72965530286D03',20.9280352651,000000000006714D
1,1000000.0,250000.0,sine,231576.0,5.0,-29507000459517690,b'FF972B8A17392106',20.9280352651,000000000005BA93
1,1000000.0,250000.0,sine,599879.0,5.0,-4980327439298535,b'FFEE4E6B281D9019',20.9280352651,0000000000059C74
1,1000000.0,250000.0,sine,76093.0,5.0,-29325337670728329,b'FF97D0C2C137C577',20.9280352651,34754
1,1000000.0,250000.0,sine,270634.0,5.0,-42249463938481582,b'FF69E6561DFF0252',20.9280352651,00000000000553F0
1,1000000.0,250000.0,sine,429978.0,5.0,-40914898824052366,b'FF6EA41DC5924172',20.9280352651,000000000008F102
1,1000000.0,250000.0,sine,504107.0,5.0,-4709471533926691,b'FFEF44C2B623F6DD',20.9280352651,00000000000E994F
1,1000000.0,250000.0,sine,464027.0,5.0,-14086997053879788,b'FFCDF3F368A6CA14',20.9280352651,750000000000.0
1,1000000.0,250000.0,sine,283263.0,5.0,-18322433153680973,b'FFBEE7D8187439B3',20.9280352651,000000000004911E
1,1000000.0,250000.0,sine,684483.0,5.0,-38977246827217063,b'FF758666888A7F59',20.9280352651,00000000000D602B
1,1000000.0,250000.0,sine,49692.0,5.0,-5040669696267593,b'FFEE1789A152EAB7',20.9280352651,0000000000052B77
1,1000000.0,250000.0,sine,236873.0,5.0,-42199812005566378,b'FF6A137E9BD1E856',20.9280352651,0000000000069F84
1,1000000.0,250000.0,sine,568697.0,5.0,-6056450219928494,b'FFEA7BB0CC0A9452',20.9280352651,00000000000C1501
1,1000000.0,250000.0,sine,21638.0,5.0,-31229639000754365,b'FF910CCF0CE57743',20.9280352651,000000000001D638
1,1000000.0,250000.0,sine,527865.0,5.0,-10936847190988433,b'FFD924FED437E96F',20.9280352651,000000000008D44F
1,1000000.0,250000.0,sine,47066.0,5.0,-8111290761937678,b'FFE32ED2F376FCF2',20.9280352651,30057
1,1000000.0,250000.0,sine,253505.0,5.0,-4576465790453661,b'FFEFBDBA863BB863',20.9280352651,00000000000BFC01
1,1000000.0,250000.0,sine,577047.0,5.0,-16490436948256163,b'FFC56A08F3821A5D',20.9280352651,000000000009A9F4
1,1000000.0,250000.0,sine,400546.0,5.0,-4691458598786050,b'FFEF5524ACBDABFE',20.9280352651,000000000008C84F
1,1000000.0,250000.0,sine,487436.0,5.0,-41017624539836732,b'FF6E46B013C5CEC4',20.9280352651,00000000000AD70D
1,1000000.0,250000.0,sine,132494.0,5.0,-40595713944362959,b'FF6FC669CAF16031',20.9280352651,32553
1,1000000.0,250000.0,sine,111516.0,5.0,-9655037311477954,b'FFDDB2CB72C1973E',20.9280352651,000000000004B3D4
1,1000000.0,250000.0,sine,416433.0,5.0,-4734682096554450,b'FFEF2DD4EB82AE2E',20.9280352651,0000000000046F95
1,1000000.0,250000.0,sine,644798.0,5.0,-4774377866059873,b'FFEF09BA87451F9F',20.9280352651,000000000000557A
1,1000000.0,250000.0,sine,606292.0,5.0,-4725343123310228,b'FFEF365351B1796C',20.9280352651,0000000000096F75
1,1000000.0,250000.0,sine,613245.0,5.0,-4722102309468234,b'FFEF3945E14047B6',20.9280352651,00000000000DEF88
1,1000000.0,250000.0,sine,353059.0,5.0,-4644462413169285,b'FFEF7FE2D3B0BD7B',20.9280352651,0000000000078F43
1,1000000.0,250000.0,sine,406538.0,5.0,-24935140301079175,b'FFA7699F3BEDFD79',20.9280352651,000000000009473C
1,1000000.0,250000.0,sine,447896.0,5.0,-32164284064375070,b'FF8DBAC109E35EE2',20.9280352651,000000000006DE5B
1,1000000.0,250000.0,sine,685862.0,5.0,-5336794496312763,b'FFED0A36B3CEDA45',20.9280352651,00000000000C202B
1,1000000.0,250000.0,sine,617552.0,5.0,-7019103825605683,b'FFE7102989D54BCD',20.9280352651,00000000000B1A0E
1,1000000.0,250000.0,sine,709926.0,5.0,-40194557706034713,b'FF713343420721E7',20.9280352651,00000000000B48A9
1,1000000.0,250000.0,sine,370192.0,5.0,-7775076281247651,b'FFE4609BFC27985D',20.9280352651,000000000008B8D9
1,1000000.0,250000.0,sine,421473.0,5.0,-36305800976565423,b'FF7F0410FD817B51',20.9280352651,96096
1,1000000.0,250000.0,sine,462594.0,5.0,-5983048274600551,b'FFEABE7304EB1D99',20.9280352651,000000000007D3FB
1,1000000.0,250000.0,sine,328542.0,5.0,-4651545422106566,b'FFEF7971AF75703A',20.9280352651,0000000000096C07
1,1000000.0,250000.0,sine,306232.0,5.0,-24393205331850030,b'FFA956824D430CD2',20.9280352651,000000000005A3E1
1,1000000.0,250000.0,sine,688070.0,5.0,-4947140232756369,b'FFEE6C9A27C5C36F',20.9280352651,00000000000D281E
1,1000000.0,250000.0,sine,731289.0,5.0,-13795159033735689,b'FFCEFD603E2C95F7',20.9280352651,00000000000BDFD0
1,1000000.0,250000.0,sine,561634.0,5.0,-38656374856676038,b'FF76AA3B5C5D0D3A',20.9280352651,00000000000A8CCE
1,1000000.0,250000.0,sine,590937.0,5.0,-13550165450747715,b'FFCFDC3241A910BD',20.9280352651,00000000000BE0A4
1,1000000.0,250000.0,sine,410860.0,5.0,-39506816763317462,b'FF73A4C26C9DB32A',20.9280352651,000000000008C640
1,1000000.0,250000.0,sine,251699.0,5.0,-5289144357156888,b'FFED358D1D6D07E8',20.9280352651,47157
1,1000000.0,250000.0,sine,701606.0,5.0,-43186670738121615,b'FF6691F3A79F5C71',20.9280352651,00000000000D5197
1,1000000.0,250000.0,sine,510622.0,5.0,-10497320155820347,b'FFDAB4BE3104CEC5',20.9280352651,00000000000ADF75
1,1000000.0,250000.0,sine,121981.0,5.0,-23096884397120917,b'FFADF1818A17626B',20.9280352651,40478
1,1000000.0,250000.0,sine,715580.0,5.0,-5312156992540640,b'FFED209F1177F020',20.9280352651,00000000000DE648
1,1000000.0,250000.0,sine,734542.0,5.0,-4960344694941003,b'FFEE6097C07E9AB5',20.9280352651,0000000000015BEC
1,1000000.0,250000.0,sine,506911.0,5.0,-6366696642542160,b'FFE96185EC3A85B0',20.9280352651,97757
1,1000000.0,250000.0,sine,178366.0,5.0,-28995499886790585,b'FF98FCBF1929B847',20.9280352651,0000000000057B7F
1,1000000.0,250000.0,sine,460158.0,5.0,-11835931278923692,b'FFD5F3488088A854',20.9280352651,0000000000088CE8
1,1000000.0,250000.0,sine,666588.0,5.0,-4824954750027235,b'FFEEDBBAAE113A1D',20.9280352651,000000000006C7A0
1,1000000.0,250000.0,sine,171082.0,5.0,-5100029229443061,b'FFEDE18CE96F580B',20.9280352651,000000000005A01E
1,1000000.0,250000.0,sine,284703.0,5.0,-39147803818040868,b'FF74EB47A3B061DC',20.9280352651,47440
1,1000000.0,250000.0,sine,45113.0,5.0,-4628484241608339,b'FFEF8E6B08EE316D',20.9280352651,23300000000.0
1,1000000.0,250000.0,sine,611793.0,5.0,-43337277069880919,b'FF6608F9E2B791A9',20.9280352651,00000000000C336F
1,1000000.0,250000.0,sine,593155.0,5.0,-4589171788051106,b'FFEFB22C2DC28D5E',20.9280352651,0000000000099CC9
1,1000000.0,250000.0,sine,62857.0,5.0,-36317306821343897,b'FF7EF99A13B70567',20.9280352651,3170.0
1,1000000.0,250000.0,sine,463197.0,5.0,-4649543038771226,b'FFEF7B43E6CE5FE6',20.9280352651,00000000000D7904
1,1000000.0,250000.0,sine,91803.0,5.0,-4950510903493253,b'FFEE69895C23FD7B',20.9280352651,000000000006BED7
1,1000000.0,250000.0,sine,482186.0,5.0,-38755867722592979,b'FF764FBE5F6ECD2D',20.9280352651,000000000007A58F
1,1000000.0,250000.0,sine,553353.0,5.0,-35620025942551887,b'FF8173C66ECDD2B1',20.9280352651,00000000000975B4
1,1000000.0,250000.0,sine,517584.0,5.0,-26263624577208333,b'FFA2B15F628FAFF3',20.9280352651,000000000008811C
1,1000000.0,250000.0,sine,467956.0,5.0,-22386171749957601,b'FFB077E538F6801F',20.9280352651,8.3e+25
