,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
48,1000000,250000,sine,387733,18.315658,-5.0,b'FF9586DF0D744495',-5.0db_10.0sigma_haystacks/2018-03-30_202624__141.txt,10.0,b'000000000005EACA',0.9983753485261825,0,250000
49,1000000,250000,sine,531267,18.163156,-5.0,b'FF9986775779D13A',-5.0db_10.0sigma_haystacks/2018-03-30_202624__142.txt,10.0,b'0000000000081CD1',0.9984363595353678,0,250000
50,1000000,250000,sine,485017,18.304432,-5.0,b'FF93657070BA755A',-5.0db_10.0sigma_haystacks/2018-03-30_202624__143.txt,10.0,b'00000000000765CD',0.9983428382408678,0,250000
51,1000000,250000,sine,626499,18.246053,-5.0,b'FF93CA62671D4F01',-5.0db_10.0sigma_haystacks/2018-03-30_202624__144.txt,10.0,b'00000000000990F5',0.9983488550416173,0,250000
52,1000000,250000,sine,108395,18.265359,-5.0,b'FF961BB756472D5C',-5.0db_10.0sigma_haystacks/2018-03-30_202624__145.txt,10.0,b'000000000001A8B6',0.9983842203712612,0,250000
53,1000000,250000,sine,56864,18.330502,-5.0,b'FFA0E0D1E821C77F',-5.0db_10.0sigma_haystacks/2018-03-30_202624__146.txt,10.0,b'000000000000DEEA',0.998548556563157,0,250000
54,1000000,250000,sine,381616,18.237723,-5.0,b'FF942277635743CC',-5.0db_10.0sigma_haystacks/2018-03-30_202624__147.txt,10.0,b'000000000005D1FE',0.9983541051363689,0,250000
55,1000000,250000,sine,705802,18.299823,-5.0,b'FF923C5CC158F8B4',-5.0db_10.0sigma_haystacks/2018-03-30_202624__148.txt,10.0,b'00000000000AC498',0.9983251310780793,0,250000
56,1000000,250000,sine,107683,18.299113,-5.0,b'FF98C04B70FBD6F6',-5.0db_10.0sigma_haystacks/2018-03-30_202624__149.txt,10.0,b'000000000001A444',0.9984245475943533,0,250000
57,1000000,250000,sine,213585,18.327005,-5.0,b'FF9D0731696723DD',-5.0db_10.0sigma_haystacks/2018-03-30_202624__15.txt,10.0,b'0000000000034209',0.9984898086198908,0,250000
58,1000000,250000,sine,101333,18.361576,-5.0,b'FF9AC7295C52B662',-5.0db_10.0sigma_haystacks/2018-03-30_202624__150.txt,10.0,b'0000000000018BDC',0.9984554744699591,0,250000
59,1000000,250000,sine,501184,18.183228,-5.0,b'FF9D98E30E6C7D0E',-5.0db_10.0sigma_haystacks/2018-03-30_202624__151.txt,10.0,b'000000000007A5B8',0.9984984926544929,0,250000
60,1000000,250000,sine,147251,18.258287,-5.0,b'FFA1070457FD01CD',-5.0db_10.0sigma_haystacks/2018-03-30_202624__152.txt,10.0,b'00000000000240A7',0.9985508332829234,0,250000
61,1000000,250000,sine,403959,18.41348,-5.0,b'FF98B82A15871DCB',-5.0db_10.0sigma_haystacks/2018-03-30_202624__153.txt,10.0,b'0000000000062AA1',0.9984240629906052,0,250000
62,1000000,250000,sine,225226,18.290078,-5.0,b'FF9423F7EFF9385C',-5.0db_10.0sigma_haystacks/2018-03-30_202624__154.txt,10.0,b'0000000000036FED',0.9983541946712408,0,250000
63,1000000,250000,sine,128829,18.306328,-5.0,b'FF9CA9086D18198F',-5.0db_10.0sigma_haystacks/2018-03-30_202624__155.txt,10.0,b'000000000001F77B',0.9984841962405827,0,250000
64,1000000,250000,sine,660619,18.272048,-5.0,b'FF99360BD8280681',-5.0db_10.0sigma_haystacks/2018-03-30_202624__156.txt,10.0,b'00000000000A1541',0.9984315661351105,0,250000
65,1000000,250000,sine,714750,18.283732,-5.0,b'FF9CEA38BD4F5EC7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__157.txt,10.0,b'00000000000AE90C',0.99848808179132,0,250000
66,1000000,250000,sine,77026,18.324977,-5.0,b'FF9D1E356593ED88',-5.0db_10.0sigma_haystacks/2018-03-30_202624__158.txt,10.0,b'0000000000012FB6',0.9984911804545644,0,250000
67,1000000,250000,sine,233861,18.307894,-5.0,b'FF9B8B134F445B58',-5.0db_10.0sigma_haystacks/2018-03-30_202624__159.txt,10.0,b'00000000000391DD',0.9984671518461864,0,250000
68,1000000,250000,sine,351668,18.356116,-5.0,b'FF9C0F27742B5A3F',-5.0db_10.0sigma_haystacks/2018-03-30_202624__16.txt,10.0,b'0000000000055DB2',0.9984750243494721,0,250000
69,1000000,250000,sine,275466,18.293436,-5.0,b'FF971AC754A4F0D8',-5.0db_10.0sigma_haystacks/2018-03-30_202624__160.txt,10.0,b'0000000000043488',0.9983994232794833,0,250000
70,1000000,250000,sine,86749,18.154376,-5.0,b'FF976B84A6ACBA38',-5.0db_10.0sigma_haystacks/2018-03-30_202624__161.txt,10.0,b'0000000000015305',0.9984042357306632,0,250000
71,1000000,250000,sine,548886,18.295283,-5.0,b'FF9A0C267D56B400',-5.0db_10.0sigma_haystacks/2018-03-30_202624__162.txt,10.0,b'00000000000860A5',0.9984443277329216,0,250000
72,1000000,250000,sine,250390,18.24418,-5.0,b'FF9BD88C8CBC8043',-5.0db_10.0sigma_haystacks/2018-03-30_202624__163.txt,10.0,b'000000000003D2F7',0.998471769632248,0,250000
73,1000000,250000,sine,391497,18.256969,-5.0,b'FF9854DD8D63B23E',-5.0db_10.0sigma_haystacks/2018-03-30_202624__164.txt,10.0,b'000000000005F9AA',0.9984181443118263,0,250000
74,1000000,250000,sine,433297,18.247084,-5.0,b'FF9A03BB3F4EF5C9',-5.0db_10.0sigma_haystacks/2018-03-30_202624__165.txt,10.0,b'0000000000069D03',0.9984438259264684,0,250000
75,1000000,250000,sine,130640,18.292346,-5.0,b'FF9C5F0729AAACBE',-5.0db_10.0sigma_haystacks/2018-03-30_202624__166.txt,10.0,b'000000000001FCFD',0.9984797852027139,0,250000
76,1000000,250000,sine,432134,18.414359,-5.0,b'FF95D4CE0FE6BF61',-5.0db_10.0sigma_haystacks/2018-03-30_202624__167.txt,10.0,b'0000000000069843',0.9983799937325797,0,250000
77,1000000,250000,sine,223743,18.180858,-5.0,b'FFA3855A9AB4977D',-5.0db_10.0sigma_haystacks/2018-03-30_202624__168.txt,10.0,b'0000000000036A98',0.9985888811304043,0,250000
