,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,geometry,norm_entropy,sigma,start_window,sweep size (bytes)
3015,1000000,250000,sine,124341,18.482722,-20,b'FFF550527521569C',-20.0db_10.0sigma_haystacks/2018-03-30_211038__111.txt,0,0.999836941,10,b'0000000000000000',250000
3016,1000000,250000,sine,111454,18.401294,-20,b'FFF4F39BD03A94B9',-20.0db_10.0sigma_haystacks/2018-03-30_211038__112.txt,0,0.999831415,10,b'0000000000000000',250000
3017,1000000,250000,sine,105448,18.472864,-20,b'FFF520479BB50577',-20.0db_10.0sigma_haystacks/2018-03-30_211038__113.txt,0,0.999834077,10,b'0000000000000000',250000
3018,1000000,250000,sine,726388,18.526758,-20,b'FFF528DF0EBB48E8',-20.0db_10.0sigma_haystacks/2018-03-30_211038__114.txt,0,0.999834589,10,b'0000000000000000',250000
3019,1000000,250000,sine,606088,18.490209,-20,b'FFF57B5E7FD7636A',-20.0db_10.0sigma_haystacks/2018-03-30_211038__115.txt,0,0.999839507,10,b'0000000000000000',250000
3020,1000000,250000,sine,472897,18.487092,-20,b'FFF5AEF604A33B1E',-20.0db_10.0sigma_haystacks/2018-03-30_211038__116.txt,0,0.999842582,10,b'0000000000000000',250000
3021,1000000,250000,sine,588253,18.557105,-20,b'FFF3D63AEE7B9C7E',-20.0db_10.0sigma_haystacks/2018-03-30_211038__117.txt,0,0.999814405,10,b'0000000000000000',250000
3022,1000000,250000,sine,534711,18.47646,-20,b'FFF4409B25B90D2D',-20.0db_10.0sigma_haystacks/2018-03-30_211038__118.txt,0,0.999820745,10,b'0000000000000000',250000
3023,1000000,250000,sine,349582,18.471992,-20,b'FFF4D1B59C760F2C',-20.0db_10.0sigma_haystacks/2018-03-30_211038__119.txt,0,0.999829394,10,b'0000000000000000',250000
3024,1000000,250000,sine,98450,18.478749,-20,b'FFF44E995A7776BF',-20.0db_10.0sigma_haystacks/2018-03-30_211038__12.txt,0,0.999821579,10,b'0000000000000000',250000
3025,1000000,250000,sine,621219,18.506928,-20,b'FFF4A806E5D3F930',-20.0db_10.0sigma_haystacks/2018-03-30_211038__120.txt,0,0.99982691,10,b'0000000000000000',250000
3026,1000000,250000,sine,624638,18.454829,-20,b'FFF2DAC05A3931D6',-20.0db_10.0sigma_haystacks/2018-03-30_211038__121.txt,0,0.999799416,10,b'0000000000000000',250000
3027,1000000,250000,sine,240027,18.468278,-20,b'FFF50AEA49B5A2C2',-20.0db_10.0sigma_haystacks/2018-03-30_211038__122.txt,0,0.999832804,10,b'0000000000000000',250000
3028,1000000,250000,sine,650084,18.480039,-20,b'FFF3EF08BE4EEF83',-20.0db_10.0sigma_haystacks/2018-03-30_211038__123.txt,0,0.999815883,10,b'0000000000000000',250000
3029,1000000,250000,sine,635778,18.472971,-20,b'FFF3C6F625E9494A',-20.0db_10.0sigma_haystacks/2018-03-30_211038__124.txt,0,0.999813495,10,b'0000000000000000',250000
3030,1000000,250000,sine,349987,18.496434,-20,b'FFF54963195C92D5',-20.0db_10.0sigma_haystacks/2018-03-30_211038__125.txt,0,0.999836528,10,b'0000000000000000',250000
3031,1000000,250000,sine,655758,18.409081,-20,b'FFF4D25FFDFFB75D',-20.0db_10.0sigma_haystacks/2018-03-30_211038__126.txt,0,0.999829434,10,b'0000000000000000',250000
3032,1000000,250000,sine,206067,18.592173,-20,b'FFF43BC9165056EC',-20.0db_10.0sigma_haystacks/2018-03-30_211038__127.txt,0,0.999820458,10,b'0000000000000000',250000
3033,1000000,250000,sine,368028,18.484091,-20,b'FFF32C7AB4BCA92B',-20.0db_10.0sigma_haystacks/2018-03-30_211038__128.txt,0,0.999804287,10,b'0000000000000000',250000
3034,1000000,250000,sine,590119,18.378579,-20,b'FFF258E9FB709CDC',-20.0db_10.0sigma_haystacks/2018-03-30_211038__129.txt,0,0.999791677,10,b'0000000000000000',250000
3035,1000000,250000,sine,162772,18.450202,-20,b'FFF4BB4628899859',-20.0db_10.0sigma_haystacks/2018-03-30_211038__13.txt,0,0.999828057,10,b'0000000000000000',250000
