,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy
34,1000000,250000,sine,233062,-10.0,b'FFEF0BA49B6F12AC',./haystacks/2018-03-22_145947__129.txt,30.1547442021,b'000000000005B6E5',0.9997412945626218
35,1000000,250000,sine,321738,-10.0,b'FFEF00F25A9624FA',./haystacks/2018-03-22_145947__13.txt,30.1547442021,b'00000000000CA739',0.9997406570133412
36,1000000,250000,sine,648616,-10.0,b'FFF022BAA9712D98',./haystacks/2018-03-22_145947__130.txt,30.1547442021,b'00000000000C21B2',0.9997579293935288
37,1000000,250000,sine,570261,-10.0,b'FFEF249EB0F174B4',./haystacks/2018-03-22_145947__131.txt,30.1547442021,b'0000000000066195',0.99974278330132
38,1000000,250000,sine,435465,-10.0,b'FFEF12AE5C4BA84D',./haystacks/2018-03-22_145947__132.txt,30.1547442021,b'00000000000AA822',0.9997417140660178
39,1000000,250000,sine,164243,-10.0,b'FFEEFADB9E88E9DB',./haystacks/2018-03-22_145947__133.txt,30.1547442021,b'0000000000059ACD',0.9997402940921664
40,1000000,250000,sine,254990,-10.0,b'FFEF6C4732C70CA6',./haystacks/2018-03-22_145947__134.txt,30.1547442021,b'000000000009ACEF',0.9997470544647309
41,1000000,250000,sine,325918,-10.0,b'FFEF653D077657AB',./haystacks/2018-03-22_145947__135.txt,30.1547442021,b'0000000000040D58',0.999746634864516
42,1000000,250000,sine,103845,-10.0,b'FFEF4FE75FA9E1E0',./haystacks/2018-03-22_145947__136.txt,30.1547442021,b'0000000000034DDF',0.999745363223759
43,1000000,250000,sine,384314,-10.0,b'FFEEFEC2936CD793',./haystacks/2018-03-22_145947__137.txt,30.1547442021,b'000000000007A2ED',0.9997405266798752
44,1000000,250000,sine,740055,-10.0,b'FFEE371192543159',./haystacks/2018-03-22_145947__138.txt,30.1547442021,b'00000000000D69C8',0.9997286241435439
45,1000000,250000,sine,462608,-10.0,b'FFEF5001534E0687',./haystacks/2018-03-22_145947__139.txt,30.1547442021,b'00000000000927B3',0.9997453692661155
46,1000000,250000,sine,181000,-10.0,b'FFEFFFE18AEB8511',./haystacks/2018-03-22_145947__14.txt,30.1547442021,b'000000000002F406',0.9997558522835971
47,1000000,250000,sine,720569,-10.0,b'FFEFEC4F8D83AAA9',./haystacks/2018-03-22_145947__140.txt,30.1547442021,b'000000000009CB8C',0.9997546858044318
48,1000000,250000,sine,30232,-10.0,b'FFEF18E0CC86942C',./haystacks/2018-03-22_145947__141.txt,30.1547442021,b'0000000000073CB2',0.9997420834374914
49,1000000,250000,sine,722304,-10.0,b'FFEE5A1B02EC6E81',./haystacks/2018-03-22_145947__142.txt,30.1547442021,b'0000000000029130',0.9997307125039911
50,1000000,250000,sine,262828,-10.0,b'FFEFE4DFBAA623B1',./haystacks/2018-03-22_145947__143.txt,30.1547442021,b'00000000000D7532',0.999754242535936
51,1000000,250000,sine,337726,-10.0,b'FFEF9BCEF2CCA6CA',./haystacks/2018-03-22_145947__144.txt,30.1547442021,b'000000000004F616',0.9997498874898151
52,1000000,250000,sine,622797,-10.0,b'FFEF181510220762',./haystacks/2018-03-22_145947__145.txt,30.1547442021,b'00000000000C8553',0.9997420360015284
