,NeedleType,entropy_hex,file_name,sigma,start_window,HstackSize,NeedleSize,StartSam,dSNR,norm_entropy
158,noise,b'FFEFE45DF00A9361',./haystacks/2018-03-22_143501__240.txt,28.0714257482,b'000000000003B417',,,,,0.9997542123165124
159,noise,b'FFEED9D22F5467E3',./haystacks/2018-03-22_143501__241.txt,28.0714257482,b'00000000000C64AB',,,,,0.9997383249422725
160,noise,b'FFEF7B462D2F3DD9',./haystacks/2018-03-22_143501__242.txt,28.0714257482,b'0000000000019B0D',,,,,0.9997479482964851
161,noise,b'FFEFD60B7320299D',./haystacks/2018-03-22_143501__243.txt,28.0714257482,b'0000000000091E98',,,,,0.9997533586457626
162,noise,b'FFEF392C7BCE56BE',./haystacks/2018-03-22_143501__244.txt,28.0714257482,b'0000000000057164',,,,,0.999744008407839
163,noise,b'FFEFE9A5DF67F7EE',./haystacks/2018-03-22_143501__245.txt,28.0714257482,b'00000000000AF586',,,,,0.9997545270884131
164,noise,b'FFEF932A6FAB0D63',./haystacks/2018-03-22_143501__246.txt,28.0714257482,b'00000000000D68AC',,,,,0.9997493723491682
165,noise,b'FFEFA79817ACE22F',./haystacks/2018-03-22_143501__247.txt,28.0714257482,b'00000000000F19B3',,,,,0.9997505899734054
166,noise,b'FFEEEF08A680BB98',./haystacks/2018-03-22_143501__248.txt,28.0714257482,b'000000000003ED3F',,,,,0.9997395893210549
167,noise,b'FFEF5EDD9C442994',./haystacks/2018-03-22_143501__249.txt,28.0714257482,b'0000000000048236',,,,,0.999746255020242
168,noise,b'FFEFFCEAB9B4B41F',./haystacks/2018-03-22_143501__25.txt,28.0714257482,b'0000000000064BC3',,,,,0.9997556756076901
169,noise,b'FFEF385872706224',./haystacks/2018-03-22_143501__250.txt,28.0714257482,b'0000000000073E6F',,,,,0.9997439590392232
170,noise,b'FFEF1E3333007765',./haystacks/2018-03-22_143501__251.txt,28.0714257482,b'00000000000E4EB9',,,,,0.9997424006460295
171,noise,b'FFEF6F504D151ED2',./haystacks/2018-03-22_143501__252.txt,28.0714257482,b'000000000004F564',,,,,0.9997472353980652
172,noise,b'FFEF0436CF3A2542',./haystacks/2018-03-22_143501__253.txt,28.0714257482,b'00000000000BBD06',,,,,0.9997408517658434
173,noise,b'FFEF3AE8B75F392B',./haystacks/2018-03-22_143501__254.txt,28.0714257482,b'00000000000927A1',,,,,0.9997441118388196
174,noise,b'FFEFCB6D7E8CE85D',./haystacks/2018-03-22_143501__255.txt,28.0714257482,b'00000000000CD9E5',,,,,0.999752725822464
175,noise,b'FFEF8A21B3486071',./haystacks/2018-03-22_143501__256.txt,28.0714257482,b'00000000000C71AA',,,,,0.9997488338733844
176,noise,b'FFEF654CAC590F83',./haystacks/2018-03-22_143501__257.txt,28.0714257482,b'000000000005B1BB',,,,,0.9997466385069382
177,noise,b'FFEE5B3F33A1154F',./haystacks/2018-03-22_143501__258.txt,28.0714257482,b'00000000000986C8',,,,,0.9997307805348367
178,noise,b'FFEF9AF138E07263',./haystacks/2018-03-22_143501__259.txt,28.0714257482,b'000000000001E718',,,,,0.9997498358651471
179,noise,b'FFEF88517BB5FCF7',./haystacks/2018-03-22_143501__26.txt,28.0714257482,b'0000000000025867',,,,,0.9997487257894235
180,noise,b'FFF009B2CCB2FA0B',./haystacks/2018-03-22_143501__260.txt,28.0714257482,b'000000000006AD8D',,,,,0.9997564374468303
181,noise,b'FFEF47CD0CA93B62',./haystacks/2018-03-22_143501__261.txt,28.0714257482,b'000000000001B932',,,,,0.9997448802575136
182,noise,b'FFEFB0451924DEBC',./haystacks/2018-03-22_143501__262.txt,28.0714257482,b'00000000000EBD16',,,,,0.9997511070916008
183,noise,b'FFEFE6CA888909BA',./haystacks/2018-03-22_143501__263.txt,28.0714257482,b'0000000000077A72',,,,,0.999754356810204
184,noise,b'FFEFA8690ACD59BE',./haystacks/2018-03-22_143501__264.txt,28.0714257482,b'0000000000002C87',,,,,0.9997506386233018
185,noise,b'FFEF7AECD48F9844',./haystacks/2018-03-22_143501__265.txt,28.0714257482,b'00000000000696C3',,,,,0.999747927493955
186,noise,b'FFEE9C5B9C828119',./haystacks/2018-03-22_143501__266.txt,28.0714257482,b'00000000000671A3',,,,,0.9997346614513933
187,noise,b'FFEFF041D3841869',./haystacks/2018-03-22_143501__267.txt,28.0714257482,b'00000000000BE1A3',,,,,0.9997549210270481
