,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
41,1000000,250000.0,sine,51678.0,5.0,b'FFE9D87B66485648',5.0db_10.0sigma_haystacks/2018-03-29_181746__28.txt,10.0,b'0000000000015A66',0.9996619511860286,10,5000
42,1000000,250000.0,sine,494059.0,5.0,b'FF5FBE604A601C77',5.0db_10.0sigma_haystacks/2018-03-29_181746__29.txt,10.0,b'0000000000099FC9',0.9975546822628308,10,5000
43,1000000,250000.0,sine,445840.0,5.0,b'FF5D8EC5BC4B1900',5.0db_10.0sigma_haystacks/2018-03-29_181746__3.txt,10.0,b'000000000007133E',0.9975213272812592,10,5000
44,1000000,250000.0,sine,352259.0,5.0,b'FFF0CB67ABDFC3F3',5.0db_10.0sigma_haystacks/2018-03-29_181746__30.txt,10.0,b'0000000000000000',0.9997679832557642,10,5000
45,1000000,250000.0,sine,707403.0,5.0,b'FFF376F34C926516',5.0db_10.0sigma_haystacks/2018-03-29_181746__31.txt,10.0,b'00000000000D70ED',0.9998087257377593,10,5000
46,1000000,250000.0,sine,562373.0,5.0,b'FFF313C969FB4AF5',5.0db_10.0sigma_haystacks/2018-03-29_181746__32.txt,10.0,b'00000000000C2416',0.9998028151257872,10,5000
47,1000000,250000.0,sine,232894.0,5.0,b'FF6FB1E1A09AFCC6',5.0db_10.0sigma_haystacks/2018-03-29_181746__33.txt,10.0,b'0000000000063EE2',0.9977980781410274,10,5000
48,1000000,250000.0,sine,177796.0,5.0,b'FFF2A99D7510108C',5.0db_10.0sigma_haystacks/2018-03-29_181746__34.txt,10.0,b'000000000002B788',0.999796486798971,10,5000
49,1000000,250000.0,sine,713291.0,5.0,b'FFF2C12DEA27C8B8',5.0db_10.0sigma_haystacks/2018-03-29_181746__35.txt,10.0,b'00000000000D61AC',0.9997978913399088,10,5000
50,1000000,250000.0,sine,446953.0,5.0,b'FF367D86AC66EB00',5.0db_10.0sigma_haystacks/2018-03-29_181746__36.txt,10.0,b'0000000000096B19',0.9969252065460767,10,5000
51,1000000,250000.0,sine,288605.0,5.0,b'FFF2260FB096FC5D',5.0db_10.0sigma_haystacks/2018-03-29_181746__37.txt,10.0,b'0000000000000000',0.9997886455826936,10,5000
