,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,geometry,norm_entropy,sigma,start_window,sweep size (bytes)
15,1000000,250000.0,sine,338613.0,14.156114,10.0,b'C015785236CA1F63',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__22.txt,0,0.7503276062696291,10.0,b'0000000000052B05',250000
16,1000000,250000.0,sine,81600.0,14.103274,10.0,b'C0128F53E731BA34',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__23.txt,0,0.7502832012025412,10.0,b'0000000000013F11',250000
17,1000000,250000.0,sine,423194.0,14.118256,10.0,b'C03263F0F12F18F7',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__24.txt,0,0.7507688964116678,10.0,b'000000000006756A',250000
18,1000000,250000.0,sine,282343.0,14.157221,10.0,b'C010DAA671AD9ED3',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__3.txt,0,0.7502571731908376,10.0,b'0000000000044F37',250000
19,1000000,250000.0,sine,746025.0,14.133576,10.0,b'C0284727630B1399',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__4.txt,0,0.7506145926627534,10.0,b'00000000000B6279',250000
20,1000000,250000.0,sine,263492.0,14.054017000000002,10.0,b'C03EE2B58AEAF68B',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__5.txt,0,0.7509595578402858,10.0,b'0000000000040594',250000
21,1000000,250000.0,sine,527345.0,14.164139000000002,10.0,b'C009B016C4E2F3D8',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__6.txt,0,0.7501478248203843,10.0,b'0000000000080C41',250000
22,1000000,250000.0,sine,602295.0,14.115898,10.0,b'BFE6A5C3EF94DCBA',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__7.txt,0,0.7496131518706366,10.0,b'0000000000093107',250000
23,1000000,250000.0,sine,300651.0,14.171214,10.0,b'BFFF7F22FC5D8A5A',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__8.txt,0,0.7499923191465908,10.0,b'00000000000496BB',250000
24,1000000,250000.0,sine,676379.0,14.10235,10.0,b'C008CDC1D60E97E3',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__9.txt,0,0.7501343343956769,10.0,b'00000000000A526A',250000
25,1000000,,noise,,18.453882999999998,,b'FFF4B717D00C52DB',10.0db_10.0sigma_haystacks/noise/2018-05-07_001244__0.txt,0,0.9998278077255672,10.0,b'0000000000000000',250000
26,1000000,,noise,,18.477196,,b'FFF42A2F6728AA2C',10.0db_10.0sigma_haystacks/noise/2018-05-07_001244__1.txt,0,0.9998194089631932,10.0,b'0000000000000000',250000
27,1000000,,noise,,18.406385,,b'FFF37F16993BC18E',10.0db_10.0sigma_haystacks/noise/2018-05-07_001244__10.txt,0,0.9998092107937132,10.0,b'0000000000000000',250000
28,1000000,,noise,,18.510889000000002,,b'FFF48E16FD4B600B',10.0db_10.0sigma_haystacks/noise/2018-05-07_001244__11.txt,0,0.9998253637434522,10.0,b'0000000000000000',250000
29,1000000,,noise,,18.439332,,b'FFF3A20B3E3F7159',10.0db_10.0sigma_haystacks/noise/2018-05-07_001244__12.txt,0,0.9998112943123922,10.0,b'0000000000000000',250000
30,1000000,,noise,,18.501096,,b'FFF4DC679481CE84',10.0db_10.0sigma_haystacks/noise/2018-05-07_001244__13.txt,0,0.9998300316697232,10.0,b'0000000000000000',250000
31,1000000,,noise,,18.413811,,b'FFF4C188EF3EE50C',10.0db_10.0sigma_haystacks/noise/2018-05-07_001244__14.txt,0,0.999828430110252,10.0,b'0000000000000000',250000
32,1000000,,noise,,18.495952,,b'FFF59C8016067D8D',10.0db_10.0sigma_haystacks/noise/2018-05-07_001244__15.txt,0,0.9998414814672518,10.0,b'0000000000000000',250000
33,1000000,,noise,,18.452185,,b'FFF3DD647F8D7E90',10.0db_10.0sigma_haystacks/noise/2018-05-07_001244__16.txt,0,0.9998148317677558,10.0,b'0000000000000000',250000
