,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
44,1000000,250000,sine,702957,18.441245,-10.0,b'FFF018A4BB5A8029',-10.0db_10.0sigma_haystacks/2018-03-30_204908__138.txt,10.0,b'00000000000AB3CE',0.9997573282410972,0,250000
45,1000000,250000,sine,234171,18.499033,-10.0,b'FFED76C61E8A2B8E',-10.0db_10.0sigma_haystacks/2018-03-30_204908__139.txt,10.0,b'000000000003847A',0.9997171624841391,0,250000
46,1000000,250000,sine,200174,18.357415,-10.0,b'FFEDB4F17BFBA254',-10.0db_10.0sigma_haystacks/2018-03-30_204908__14.txt,10.0,b'0000000000030DC0',0.999720868068819,0,250000
47,1000000,250000,sine,109889,18.432669,-10.0,b'FFECA5FB79A269C0',-10.0db_10.0sigma_haystacks/2018-03-30_204908__140.txt,10.0,b'000000000001A6E0',0.9997047175362553,0,250000
48,1000000,250000,sine,509232,18.422249,-10.0,b'FFF08C7F9F8F5D7A',-10.0db_10.0sigma_haystacks/2018-03-30_204908__141.txt,10.0,b'000000000007C677',0.9997642337398793,0,250000
49,1000000,250000,sine,653918,18.411662,-10.0,b'FFEF639DB14995A9',-10.0db_10.0sigma_haystacks/2018-03-30_204908__142.txt,10.0,b'000000000009F52B',0.9997465381614233,0,250000
50,1000000,250000,sine,748639,18.459688,-10.0,b'FFEF1E37AF559DA9',-10.0db_10.0sigma_haystacks/2018-03-30_204908__143.txt,10.0,b'00000000000B5853',0.9997424016904319,0,250000
51,1000000,250000,sine,489325,18.485077,-10.0,b'FFF08E5594B42339',-10.0db_10.0sigma_haystacks/2018-03-30_204908__144.txt,10.0,b'0000000000076FBE',0.999764343160408,0,250000
52,1000000,250000,sine,637568,18.347233,-10.0,b'FFF04F3321D38F66',-10.0db_10.0sigma_haystacks/2018-03-30_204908__145.txt,10.0,b'000000000009C1D3',0.999760580047065,0,250000
53,1000000,250000,sine,388364,18.406148,-10.0,b'FFEF19316D08624C',-10.0db_10.0sigma_haystacks/2018-03-30_204908__146.txt,10.0,b'000000000005E3E3',0.9997421022099231,0,250000
54,1000000,250000,sine,184179,18.401464,-10.0,b'FFF10104337CC54A',-10.0db_10.0sigma_haystacks/2018-03-30_204908__147.txt,10.0,b'000000000002CFDD',0.9997711787468574,0,250000
55,1000000,250000,sine,699437,18.379425,-10.0,b'FFEDB0871DCAA76A',-10.0db_10.0sigma_haystacks/2018-03-30_204908__148.txt,10.0,b'00000000000AC356',0.9997206048845252,0,250000
56,1000000,250000,sine,580520,18.260262,-10.0,b'FFF025B0D2BC0785',-10.0db_10.0sigma_haystacks/2018-03-30_204908__149.txt,10.0,b'000000000008E00F',0.9997581059167119,0,250000
57,1000000,250000,sine,628564,18.33204,-10.0,b'FFEE3067B3A68DAD',-10.0db_10.0sigma_haystacks/2018-03-30_204908__15.txt,10.0,b'0000000000099E4D',0.9997282269647718,0,250000
58,1000000,250000,sine,208420,18.451013,-10.0,b'FFF0E2D6430102FC',-10.0db_10.0sigma_haystacks/2018-03-30_204908__150.txt,10.0,b'0000000000031AA3',0.9997693799114167,0,250000
59,1000000,250000,sine,644265,18.51414,-10.0,b'FFEDD01AE396BFFA',-10.0db_10.0sigma_haystacks/2018-03-30_204908__151.txt,10.0,b'000000000009D476',0.9997224870345134,0,250000
60,1000000,250000,sine,638709,18.358399,-10.0,b'FFF0ACE9CA8B2921',-10.0db_10.0sigma_haystacks/2018-03-30_204908__152.txt,10.0,b'000000000009BBCE',0.9997661658076537,0,250000
61,1000000,250000,sine,728931,18.40488,-10.0,b'FFF152510C67DB3E',-10.0db_10.0sigma_haystacks/2018-03-30_204908__153.txt,10.0,b'00000000000B11DC',0.9997760246154991,0,250000
62,1000000,250000,sine,106580,18.497438,-10.0,b'FFEF4E9B829FC25C',-10.0db_10.0sigma_haystacks/2018-03-30_204908__154.txt,10.0,b'0000000000019F1B',0.9997452859557816,0,250000
63,1000000,250000,sine,306804,18.381641,-10.0,b'FFF0227CA81133E2',-10.0db_10.0sigma_haystacks/2018-03-30_204908__155.txt,10.0,b'000000000004AC47',0.9997579149567783,0,250000
64,1000000,250000,sine,21093,18.448362,-10.0,b'FFECB12DB1853A0D',-10.0db_10.0sigma_haystacks/2018-03-30_204908__156.txt,10.0,b'0000000000000000',0.9997053848797081,0,250000
65,1000000,250000,sine,547841,18.46143,-10.0,b'FFF09BB0F7CB197D',-10.0db_10.0sigma_haystacks/2018-03-30_204908__157.txt,10.0,b'0000000000085580',0.9997651392985002,0,250000
66,1000000,250000,sine,53143,18.428444,-10.0,b'FFED3C0E68B76441',-10.0db_10.0sigma_haystacks/2018-03-30_204908__158.txt,10.0,b'000000000000D2A3',0.9997136626413671,0,250000
67,1000000,250000,sine,588246,18.444153,-10.0,b'FFF01F53398F7BE8',-10.0db_10.0sigma_haystacks/2018-03-30_204908__159.txt,10.0,b'000000000008F837',0.9997577264962824,0,250000
68,1000000,250000,sine,615117,18.416456,-10.0,b'FFEFAE8A2A302557',-10.0db_10.0sigma_haystacks/2018-03-30_204908__16.txt,10.0,b'0000000000095C5C',0.9997510039631271,0,250000
69,1000000,250000,sine,140757,18.405029,-10.0,b'FFF0C70F2CF98929',-10.0db_10.0sigma_haystacks/2018-03-30_204908__160.txt,10.0,b'0000000000022515',0.9997677242326742,0,250000
70,1000000,250000,sine,484310,18.380582,-10.0,b'FFF0EBFB99C2ED2C',-10.0db_10.0sigma_haystacks/2018-03-30_204908__161.txt,10.0,b'0000000000076467',0.999769925046859,0,250000
71,1000000,250000,sine,603805,18.379473,-10.0,b'FFEE64B9D8027F9B',-10.0db_10.0sigma_haystacks/2018-03-30_204908__162.txt,10.0,b'0000000000093D5C',0.9997313455314814,0,250000
72,1000000,250000,sine,1951,18.393933,-10.0,b'FFE6FC9EE44CFB73',-10.0db_10.0sigma_haystacks/2018-03-30_204908__163.txt,10.0,b'0000000000000000',0.9996183288497383,0,250000
73,1000000,250000,sine,696158,18.403847,-10.0,b'FFEE735CBC5A77D9',-10.0db_10.0sigma_haystacks/2018-03-30_204908__164.txt,10.0,b'00000000000A9FFB',0.9997322179227498,0,250000
74,1000000,250000,sine,13596,18.311401,-10.0,b'FFE948F662E44F13',-10.0db_10.0sigma_haystacks/2018-03-30_204908__165.txt,10.0,b'0000000000000000',0.9996533967522663,0,250000
75,1000000,250000,sine,693306,18.377291,-10.0,b'FFF1DE05899BE9F4',-10.0db_10.0sigma_haystacks/2018-03-30_204908__166.txt,10.0,b'00000000000A91B0',0.9997843516845105,0,250000
76,1000000,250000,sine,139730,18.427577,-10.0,b'FFF018022221C72B',-10.0db_10.0sigma_haystacks/2018-03-30_204908__167.txt,10.0,b'0000000000021A93',0.9997572903831787,0,250000
77,1000000,250000,sine,146527,18.334001,-10.0,b'FFF2093D1A1B00C8',-10.0db_10.0sigma_haystacks/2018-03-30_204908__168.txt,10.0,b'0000000000023CB1',0.99978692762134,0,250000
78,1000000,250000,sine,50029,18.402166,-10.0,b'FFEEC1B49851DE55',-10.0db_10.0sigma_haystacks/2018-03-30_204908__169.txt,10.0,b'000000000000C669',0.9997368875413666,0,250000
79,1000000,250000,sine,26516,18.54064,-10.0,b'FFEC84AA28EC8D27',-10.0db_10.0sigma_haystacks/2018-03-30_204908__17.txt,10.0,b'0000000000000000',0.99970273165029,0,250000
80,1000000,250000,sine,366196,18.444529,-10.0,b'FFF18CC6AFB3A20F',-10.0db_10.0sigma_haystacks/2018-03-30_204908__170.txt,10.0,b'00000000000597B0',0.9997795090745982,0,250000
81,1000000,250000,sine,549760,18.453814,-10.0,b'FFEE8E4F477DD2A3',-10.0db_10.0sigma_haystacks/2018-03-30_204908__171.txt,10.0,b'000000000008616E',0.999733824115075,0,250000
82,1000000,250000,sine,350817,18.411555,-10.0,b'FFF09A5E57EA4DCE',-10.0db_10.0sigma_haystacks/2018-03-30_204908__172.txt,10.0,b'0000000000057784',0.9997650604563344,0,250000
83,1000000,250000,sine,238245,18.355332,-10.0,b'FFF03CDA95932247',-10.0db_10.0sigma_haystacks/2018-03-30_204908__173.txt,10.0,b'000000000003A20A',0.9997594865468042,0,250000
84,1000000,250000,sine,364032,18.367352,-10.0,b'FFF3D30B449490F3',-10.0db_10.0sigma_haystacks/2018-03-30_204908__174.txt,10.0,b'0000000000058ADA',0.9998142149457456,0,250000
85,1000000,250000,sine,575619,18.470099,-10.0,b'FFF0FE1C93A9C8AD',-10.0db_10.0sigma_haystacks/2018-03-30_204908__175.txt,10.0,b'000000000008CDA7',0.9997710056083299,0,250000
