,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,energy,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
10,1000000,250000,chirp,400899,-15.0,18.472739,b'FFF4DCF95BB25A60',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__107.txt,10.0,b'0000000000000000',0.9998300656113285,0,250000
11,1000000,250000,chirp,701129,-15.0,18.563045,b'FFF441C0D903010D',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__108.txt,10.0,b'0000000000000000',0.999820813734015,0,250000
12,1000000,250000,chirp,438173,-15.0,18.458787,b'FFF474FDE9D3F2B3',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__109.txt,10.0,b'0000000000000000',0.999823867788862,0,250000
13,1000000,250000,chirp,263459,-15.0,18.453981,b'FFF3EFB4AB51A0E1',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__11.txt,10.0,b'0000000000000000',0.9998159233176183,0,250000
14,1000000,250000,chirp,153333,-15.0,18.499462,b'FFF3DF2BF1624C20',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__110.txt,10.0,b'0000000000000000',0.9998149378092276,0,250000
15,1000000,250000,chirp,126781,-15.0,18.523422,b'FFF47791ABE824D4',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__111.txt,10.0,b'0000000000000000',0.99982402140077,0,250000
16,1000000,250000,chirp,391372,-15.0,18.505417,b'FFF4CBF57DA75291',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__112.txt,10.0,b'0000000000000000',0.9998290514319284,0,250000
17,1000000,250000,chirp,97645,-15.0,18.432483,b'FFF3A13366A0D669',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__113.txt,10.0,b'0000000000000000',0.9998112440576991,0,250000
18,1000000,250000,chirp,725462,-15.0,18.384033,b'FFF454F39E1D805B',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__114.txt,10.0,b'0000000000000000',0.9998219580430625,0,250000
19,1000000,250000,chirp,151094,-15.0,18.416286,b'FFF40E5062A38085',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__115.txt,10.0,b'0000000000000000',0.9998177477124397,0,250000
20,1000000,250000,chirp,153559,-15.0,18.388295,b'FFF43FB86C777839',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__116.txt,10.0,b'0000000000000000',0.9998206925633591,0,250000
21,1000000,250000,chirp,439128,-15.0,18.429766,b'FFF2B5E29E88A1E2',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__117.txt,10.0,b'0000000000000000',0.9997972181577404,0,250000
22,1000000,250000,chirp,323164,-15.0,18.458401,b'FFF31986716B214C',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__118.txt,10.0,b'0000000000000000',0.9998031571607666,0,250000
23,1000000,250000,chirp,450860,-15.0,18.306944,b'FFF3552CE23C978E',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__119.txt,10.0,b'0000000000000000',0.9998067125873028,0,250000
24,1000000,250000,chirp,77139,-15.0,18.546103,b'FFF3CBBBDD58C798',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__12.txt,10.0,b'0000000000000000',0.999813779225721,0,250000
25,1000000,250000,chirp,258296,-15.0,18.440283,b'FFF2F92F05EF5DF4',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__120.txt,10.0,b'0000000000000000',0.9998012294581122,0,250000
26,1000000,250000,chirp,243271,-15.0,18.458903,b'FFF2FD7F4E4A60CF',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__121.txt,10.0,b'0000000000000000',0.9998014865689497,0,250000
27,1000000,250000,chirp,200375,-15.0,18.503561,b'FFF53CF4FA964756',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__122.txt,10.0,b'0000000000000000',0.9998357866375837,0,250000
28,1000000,250000,chirp,465301,-15.0,18.455857,b'FFF53498F57CE0D7',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__123.txt,10.0,b'0000000000000000',0.9998352883753685,0,250000
29,1000000,250000,chirp,325790,-15.0,18.569926,b'FFF4DCD98A54DC20',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__124.txt,10.0,b'0000000000000000',0.9998300582031621,0,250000
